C61	C62
AT1G08680	896	718
AT1G08695	0	0
AT1G08700	661	494
AT1G08710	197	132
AT1G08720	456	429
AT1G08730	39	21
AT1G08750	240	172
AT1G08760	595	500
AT1G08770	439	390
AT1G08780	386	254
AT1G08790	1	0
AT1G08800	1377	1293
AT1G08810	5	14
AT1G08820	1097	1004
AT1G04667	0	0
AT1G08830	8235	7329
AT1G08840	116	71
AT1G08845	72	43
AT1G08860	0	1
AT1G08870	0	0
AT1G08880	1083	891
AT1G08890	177	138
AT1G08900	45	33
AT1G08910	198	121
AT1G04673	0	0
AT1G04677	0	0
AT1G04683	1	0
AT1G08920	733	876
AT1G08930	2923	2695
AT1G08940	282	273
AT1G08950	0	0
AT1G08960	202	129
AT1G08970	805	610
AT1G08980	88	61
AT1G08985	0	1
AT1G08990	673	632
AT1G09000	299	190
AT1G09010	1189	1035
AT1G09020	991	859
AT1G09030	2	1
AT1G09040	94	82
AT1G09050	102	87
AT1G09060	498	407
AT1G09070	982	1072
AT1G09080	1	0
AT1G09090	654	579
AT1G09100	608	494
AT1G09110	0	0
AT1G09130	572	526
AT1G09140	2941	2215
AT1G09150	658	408
AT1G09155	130	122
AT1G09157	1	0
AT1G09160	478	299
AT1G09170	247	218
AT1G09176	11	17
AT1G09180	4	3
AT1G09190	37	27
AT1G09195	115	97
AT1G09200	1221	875
AT1G09210	5555	3796
AT1G09220	25	20
AT1G09230	172	123
AT1G09240	0	10
AT1G09245	0	0
AT1G04687	0	0
AT1G04693	0	0
AT1G09250	534	416
AT1G09260	0	0
AT1G09270	1695	1522
AT1G09280	420	257
AT1G09290	156	133
AT1G09300	218	151
AT1G09310	21	764
AT1G09320	144	104
AT1G09330	720	546
AT1G09340	131	1464
AT1G09350	103	81
AT1G09360	0	0
AT1G09370	0	0
AT1G09380	13	17
AT1G09390	257	178
AT1G04697	0	2
AT1G09400	6	7
AT1G09410	27	16
AT1G09415	63	55
AT1G09420	133	87
AT1G09421	8	4
AT1G09430	2135	1817
AT1G09440	117	100
AT1G09450	90	46
AT1G09460	424	315
AT1G09470	99	44
AT1G09480	44	34
AT1G09483	1	0
AT1G09490	191	117
AT1G09500	2	0
AT1G09510	0	0
AT1G09520	274	177
AT1G09530	62	64
AT1G04703	0	0
AT1G09540	168	144
AT1G09550	0	0
AT1G09560	7246	8131
AT1G09570	3619	2979
AT1G09575	67	58
AT1G09580	281	235
AT1G09590	4003	2503
AT1G09600	50	36
AT1G09610	31	33
AT1G04707	2	1
AT1G09620	2744	2014
AT1G09625	0	0
AT1G09630	423	289
AT1G09640	5116	4091
AT1G09645	372	320
AT1G09650	19	6
AT1G04713	0	0
AT1G09660	711	428
AT1G04717	0	0
AT1G09665	0	0
AT1G09680	26	12
AT1G09690	5562	3587
AT1G09700	162	119
AT1G09710	132	79
AT1G09720	0	0
AT1G09730	949	777
AT1G09740	2100	2091
AT1G09750	370	333
AT1G09760	778	525
AT1G09770	2526	1758
AT1G09780	4696	3696
AT1G09790	0	0
AT1G09794	56	56
AT1G09795	111	98
AT1G04723	0	0
AT1G09800	79	53
AT1G04733	0	0
AT1G09810	177	118
AT1G09812	33	14
AT1G09815	260	211
AT1G09820	86	57
AT1G09830	404	254
AT1G09840	932	755
AT1G09850	530	468
AT1G04737	0	0
AT1G09860	25	29
AT1G04743	6	4
AT1G09870	650	440
AT1G09880	14	8
AT1G04747	0	0
AT1G09890	29	54
AT1G09900	122	97
AT1G09910	209	183
AT1G09920	693	625
AT1G09930	2	2
AT1G09932	135	97
AT1G09935	0	0
AT1G09940	319	313
AT1G09950	2	3
AT1G09960	226	194
AT1G04753	0	0
AT1G09970	5969	5494
AT1G09980	558	412
AT1G09995	140	106
AT1G10000	0	3
AT1G10010	0	0
AT1G10020	485	575
AT1G10030	453	346
AT1G10040	128	68
AT1G10050	576	511
AT1G10060	0	9
AT1G10070	6	6
AT1G10090	574	505
AT1G10095	70	58
AT1G10100	0	0
AT1G04763	0	0
AT1G10110	13	9
AT1G04767	0	1
AT1G10120	525	359
AT1G04773	2	1
AT1G10130	1002	718
AT1G10140	364	305
AT1G10150	201	249
AT1G10155	4	6
AT1G10170	920	905
AT1G10180	530	369
AT1G10190	0	0
AT1G10200	1126	856
AT1G10210	174	141
AT1G10220	23	41
AT1G10225	0	1
AT1G10230	119	91
AT1G10240	150	118
AT1G10250	0	0
AT1G04783	0	0
AT1G10270	268	226
AT1G10280	146	132
AT1G10290	1932	1477
AT1G10300	111	31
AT1G10310	117	109
AT1G10320	341	153
AT1G10330	40	35
AT1G10340	79	97
AT1G10350	311	287
AT1G10360	69	115
AT1G10370	304	477
AT1G10380	899	743
AT1G10385	19	33
AT1G04787	0	0
AT1G10390	1871	1642
AT1G10395	0	0
AT1G10400	134	84
AT1G10410	1253	1086
AT1G04793	0	0
AT1G10417	19	14
AT1G10430	476	375
AT1G10440	0	0
AT1G10450	626	466
AT1G10455	0	1
AT1G10460	40	32
AT1G10470	1525	1430
AT1G10480	141	136
AT1G10490	577	336
AT1G10500	359	366
AT1G10510	272	208
AT1G10520	44	25
AT1G10522	132	80
AT1G04797	0	0
AT1G10530	80	45
AT1G04803	0	0
AT1G10540	9	2
AT1G10550	182	157
AT1G10560	109	124
AT1G10570	310	159
AT1G10580	598	490
AT1G10585	0	3
AT1G10586	0	0
AT1G10588	0	0
AT1G10590	1717	1179
AT1G10600	132	112
AT1G10610	59	32
AT1G10620	0	0
AT1G10630	1912	1340
AT1G04807	0	0
AT1G10640	13	14
AT1G10650	535	451
AT1G04813	0	0
AT1G10657	0	5
